Date	,	.com	,	.tk	,	.net	,	.de	,	.uk	,	.org	,	.cn	,	.ru	,	.info	,	.top
3/1/2014	,	732482	,	172	,	83494	,	0	,	58916	,	62143	,	63626	,	33078	,	27582	,	0
2/1/2014	,	671749	,	106	,	76537	,	0	,	58931	,	58508	,	27690	,	32685	,	26471	,	0
1/1/2014	,	717999	,	98	,	84022	,	0	,	63455	,	62092	,	34086	,	30235	,	28552	,	0
12/1/2013	,	680810	,	96	,	76897	,	0	,	41535	,	56346	,	57276	,	30519	,	24480	,	0
11/1/2013	,	694811	,	108	,	77515	,	0	,	68157	,	60384	,	36619	,	28802	,	25432	,	0
10/1/2013	,	680148	,	94	,	83222	,	0	,	74710	,	63488	,	30609	,	29039	,	25988	,	0
9/1/2013	,	558469	,	98	,	61031	,	0	,	60800	,	45382	,	29949	,	25128	,	18610	,	0
8/1/2013	,	577338	,	116	,	60062	,	0	,	50758	,	46288	,	35641	,	24276	,	19819	,	0
7/1/2013	,	559417	,	102	,	59653	,	0	,	55626	,	47600	,	49906	,	25955	,	19164	,	0
6/1/2013	,	534245	,	110	,	60142	,	0	,	54131	,	49234	,	32856	,	22740	,	18764	,	0
5/1/2013	,	586865	,	92	,	68820	,	0	,	58085	,	52480	,	26812	,	23703	,	20309	,	0
4/1/2013	,	594535	,	120	,	67617	,	0	,	57629	,	51879	,	23504	,	29212	,	21110	,	0
3/1/2013	,	635789	,	216	,	72857	,	0	,	62804	,	55387	,	26192	,	30044	,	22658	,	0
2/1/2013	,	580466	,	64	,	65826	,	0	,	61588	,	52177	,	15352	,	29056	,	43327	,	0
1/1/2013	,	643306	,	126	,	73353	,	0	,	62484	,	55921	,	22670	,	26372	,	23368	,	0
12/1/2012	,	550633	,	68	,	65750	,	0	,	40837	,	48892	,	291911	,	27253	,	21414	,	0
11/1/2012	,	579671	,	104	,	66114	,	0	,	60341	,	53857	,	22186	,	25787	,	23035	,	0
10/1/2012	,	558464	,	123	,	69726	,	0	,	58764	,	54289	,	20786	,	25224	,	23673	,	0
9/1/2012	,	468787	,	76	,	54151	,	0	,	45272	,	39941	,	966705	,	22087	,	17485	,	0
8/1/2012	,	467604	,	61	,	53539	,	0	,	42757	,	42272	,	27932	,	22171	,	16882	,	0
